Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,3203.559082,3207.862061,3109.163086,3205.986084,3205.986084,397400
2015-09-01,3157.832031,3180.331055,3053.738037,3166.624023,3166.624023,432400
2015-09-02,3027.677979,3194.485107,3019.086914,3160.166992,3160.166992,438200
2015-09-07,3149.379883,3217.579102,3066.303955,3080.419922,3080.419922,296500
2015-09-08,3054.444092,3174.708984,3011.116943,3170.451904,3170.451904,255400
2015-09-09,3182.552002,3256.742920,3165.696045,3243.089111,3243.089111,375300
2015-09-10,3190.552979,3243.281006,3178.904053,3197.893066,3197.893066,273300
2015-09-11,3189.479004,3223.761963,3163.448975,3200.233887,3200.233887,224600
2015-09-14,3221.165039,3229.481934,3049.229980,3114.798096,3114.798096,346600
2015-09-15,3043.804932,3081.702881,2983.919922,3005.172119,3005.172119,249200
2015-09-16,2998.035889,3182.934082,2983.534912,3152.262939,3152.262939,277500
2015-09-17,3131.981934,3204.701904,3085.313965,3086.061035,3086.061035,317600
2015-09-18,3100.280029,3122.048096,3070.335938,3097.916992,3097.916992,209200
2015-09-21,3072.093994,3159.883057,3060.855957,3156.540039,3156.540039,239900
2015-09-22,3161.318115,3213.476074,3152.480957,3185.618896,3185.618896,274800
2015-09-23,3137.722900,3164.041016,3104.743896,3115.887939,3115.887939,236300
2015-09-24,3126.490967,3151.165039,3109.690918,3142.687012,3142.687012,212900
2015-09-25,3130.851074,3149.947998,3062.995117,3092.346924,3092.346924,236300
2015-09-28,3085.566895,3103.069092,3042.310059,3100.756104,3100.756104,156700
2015-09-29,3055.218018,3068.298096,3021.156982,3038.136963,3038.136963,163200
2015-09-30,3052.841064,3073.300049,3039.741943,3052.781006,3052.781006,146600
2015-10-08,3156.074951,3172.281006,3133.126953,3143.356934,3143.356934,234300
2015-10-09,3146.644043,3192.717041,3137.788086,3183.152100,3183.152100,234900
2015-10-12,3193.540039,3318.714111,3188.406982,3287.662109,3287.662109,386300
2015-10-13,3262.156006,3298.625977,3253.249023,3293.229980,3293.229980,297200
2015-10-14,3280.020020,3307.314941,3256.252930,3262.440918,3262.440918,295100
2015-10-15,3255.031982,3338.297119,3254.392090,3338.072998,3338.072998,316300
2015-10-16,3358.297119,3393.018066,3334.854004,3391.352051,3391.352051,395500
2015-10-19,3401.626953,3423.402100,3355.565918,3386.699951,3386.699951,378100
2015-10-20,3377.547119,3425.516113,3357.861084,3425.330078,3425.330078,319000
2015-10-21,3428.561035,3447.258057,3265.436035,3320.676025,3320.676025,458500
2015-10-22,3292.291016,3373.775879,3282.992920,3368.739014,3368.739014,323700
2015-10-23,3377.548096,3422.021973,3360.218018,3412.434082,3412.434082,347400
2015-10-26,3448.648926,3457.517090,3402.000000,3429.581055,3429.581055,365600
2015-10-27,3409.136963,3441.564941,3332.615967,3434.335938,3434.335938,328200
2015-10-28,3417.010986,3439.758057,3367.230957,3375.196045,3375.196045,293500
2015-10-29,3387.773926,3411.714111,3362.509033,3387.314941,3387.314941,235700
2015-10-30,3380.283936,3417.200928,3346.591064,3382.561035,3382.561035,243600
2015-11-02,3337.577881,3391.063965,3322.312012,3325.084961,3325.084961,231000
2015-11-03,3330.315918,3346.274902,3302.184082,3316.695068,3316.695068,192900
2015-11-04,3325.618896,3459.645996,3325.618896,3459.639893,3459.639893,339100
2015-11-05,3459.215088,3585.656982,3455.524902,3522.819092,3522.819092,553300
2015-11-06,3514.436035,3596.382080,3508.826904,3590.031982,3590.031982,429200
2015-11-09,3588.498047,3673.760010,3588.498047,3646.881104,3646.881104,503000
2015-11-10,3617.395996,3669.532959,3607.891113,3640.485107,3640.485107,429700
2015-11-11,3635.003906,3654.876953,3605.621094,3650.249023,3650.249023,361000
2015-11-12,3656.816895,3659.314941,3603.228027,3632.902100,3632.902100,361700
2015-11-13,3600.763916,3632.555908,3564.809082,3580.839111,3580.839111,345900
2015-11-16,3522.460938,3607.612061,3519.420898,3606.957031,3606.957031,276200
2015-11-17,3629.977051,3678.272949,3598.068115,3604.794922,3604.794922,383600
2015-11-18,3605.061035,3617.069092,3558.697021,3568.468018,3568.468018,297600
2015-11-19,3573.775879,3618.212891,3561.043945,3617.062012,3617.062012,247900
2015-11-20,3620.791016,3640.529053,3607.915039,3630.500000,3630.500000,310800
2015-11-23,3630.866943,3654.753906,3598.871094,3610.314941,3610.314941,316000
2015-11-24,3602.886963,3616.483887,3563.104004,3616.113037,3616.113037,248800
2015-11-25,3614.068115,3648.366943,3607.518066,3647.929932,3647.929932,273000
2015-11-26,3659.573975,3668.375977,3629.864990,3635.552002,3635.552002,306800
2015-11-27,3616.543945,3621.896973,3412.427002,3436.302979,3436.302979,354300
2015-11-30,3433.854980,3470.371094,3327.812012,3445.405029,3445.405029,304200
2015-12-01,3442.440918,3483.414063,3417.544922,3456.309082,3456.309082,252400
2015-12-02,3450.278076,3538.846924,3427.660889,3536.905029,3536.905029,301500
2015-12-03,3525.727051,3591.729980,3517.229980,3584.823975,3584.823975,281100
2015-12-04,3558.148926,3568.969971,3510.412109,3524.991943,3524.991943,251700
2015-12-07,3529.805908,3543.945068,3506.625000,3536.927002,3536.927002,208300
2015-12-08,3518.647949,3518.647949,3466.790039,3470.070068,3470.070068,224400
2015-12-09,3462.583008,3495.701904,3454.878906,3472.438965,3472.438965,195700
2015-12-10,3469.805908,3503.654053,3446.272949,3455.495117,3455.495117,200400
2015-12-11,3441.596924,3455.548096,3410.924072,3434.581055,3434.581055,182900
2015-12-14,3403.507080,3521.779053,3399.280029,3520.667969,3520.667969,215400
2015-12-15,3518.125977,3529.960938,3496.854004,3510.354004,3510.354004,200500
2015-12-16,3522.091064,3538.688965,3506.291016,3516.187012,3516.187012,193500
2015-12-17,3533.627930,3583.407959,3533.627930,3579.999023,3579.999023,283900
2015-12-18,3574.939941,3614.697998,3568.160889,3578.964111,3578.964111,273700
2015-12-21,3568.581055,3651.055908,3565.750977,3642.471924,3642.471924,299800
2015-12-22,3645.989990,3652.635010,3616.870117,3651.767090,3651.767090,261200
2015-12-23,3653.281982,3684.566895,3633.024902,3636.089111,3636.089111,298200
2015-12-24,3631.312988,3640.220947,3572.277100,3612.485107,3612.485107,227800
2015-12-25,3614.053955,3635.256104,3601.738037,3628.000977,3628.000977,192500
2015-12-28,3635.769043,3641.587891,3533.779053,3533.779053,3533.779053,270000
2015-12-29,3528.395020,3564.170898,3515.520020,3563.736084,3563.736084,182600
2015-12-30,3566.730957,3573.684082,3538.112061,3572.875977,3572.875977,187900
2015-12-31,3570.467041,3580.602051,3538.353027,3539.181885,3539.181885,177000
2016-01-04,3536.589111,3538.688965,3295.740967,3296.258057,3296.258057,184400
2016-01-05,3196.650879,3328.138916,3189.604980,3287.710938,3287.710938,266900
2016-01-06,3291.195068,3362.974121,3288.933105,3361.840088,3361.840088,238900
2016-01-07,3309.656982,3309.656982,3115.885010,3125.001953,3125.001953,70600
2016-01-08,3194.625000,3235.450928,3056.877930,3186.412109,3186.412109,286400
2016-01-11,3131.853027,3166.215088,3016.697021,3016.704102,3016.704102,271600
2016-01-12,3026.158936,3047.664063,2978.462891,3022.861084,3022.861084,207700
2016-01-13,3041.106934,3059.014893,2949.290039,2949.596924,2949.596924,194300
2016-01-14,2874.049072,3012.292969,2867.552979,3007.648926,3007.648926,212900
2016-01-15,2988.048096,3001.708008,2883.867920,2900.969971,2900.969971,198700
2016-01-18,2847.539063,2945.449951,2844.704102,2913.836914,2913.836914,164700
2016-01-19,2914.407959,3012.068115,2906.404053,3007.739014,3007.739014,205300
2016-01-20,2993.013916,3016.282959,2951.922119,2976.694092,2976.694092,216500
2016-01-21,2934.391113,2998.790039,2880.084961,2880.481934,2880.481934,191700
2016-01-22,2911.112061,2931.358887,2851.732910,2916.562012,2916.562012,159800
2016-01-25,2934.077881,2955.782959,2911.829102,2938.514893,2938.514893,153000
2016-01-26,2907.718018,2911.990967,2743.839111,2749.784912,2749.784912,210800
2016-01-27,2756.082031,2768.771973,2638.302002,2735.558105,2735.558105,215700
