,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,DIFF,DEA,MACD,MACDX,MACDXPre,kdj_k,kdj_d,kdj_j,kdX,kdXPre,ema5,ema10,ema20,ema60,ROC-1,ROC+1,ROC-2,ROC+2,ROC-3,ROC+3,ROC-5,ROC+5,mavol5,mavol10
77,000002.SZ,20181217,26.51,26.75,25.94,26.52,26.46,0.05999999999999872,0.22675736961450763,321532.38,845518.94,0.5720739918477769,0.5036015086807214,0.1369449663341109,0,0,64.19987500745844,57.57005195396349,77.45952111444835,0,0,26.365064804826577,26.04553167412942,25.60147323934378,24.574053891590072,0.22675736961450763,-3.8461538461538445,-2.1402214022140287,-4.298642533936654,0.6451612903225736,-4.600301659125184,6.079999999999998,-9.954751131221721,439186.35,390599.22600000014
76,000002.SZ,20181218,26.23,26.39,25.34,25.5,26.52,-1.0199999999999996,-3.8461538461538445,413674.28,1063833.011,0.49412222429431196,0.5017056518034395,-0.015166855018255099,-1,0,50.58201783895416,55.24070724896038,41.26463901894171,-1,0,26.076709869884382,25.94634409701498,25.591809121310447,24.60442480772521,-3.8461538461538445,-0.4705882352941215,-3.6281179138322024,-0.7843137254901933,-5.90405904059041,-4.901960784313726,-1.8097805159799727,-6.000000000000004,435180.50800000003,380972.05700000015
75,000002.SZ,20181219,25.71,26.09,25.15,25.38,25.5,-0.120000000000001,-0.4705882352941215,290663.49,743094.958,0.41784523017888375,0.48493356747852834,-0.13417667459928917,0,0,39.94702615982158,50.14281355258078,19.55545137430319,0,0,25.844473246589587,25.843372443012253,25.571636824041672,24.62986324625907,-0.4705882352941215,-0.315208825847117,-4.298642533936654,-4.452324665090619,-4.081632653061231,-5.91016548463357,-3.6812144212523807,-6.225374310480687,396361.2200000001,369320.80000000016
74,000002.SZ,20181220,25.45,25.8,24.91,25.3,25.38,-0.0799999999999983,-0.315208825847117,412249.8,1038244.109,0.34694051713751506,0.45733495741032576,-0.2207888805456214,0,0,31.8194182180912,44.03501510775092,7.388224438771758,0,0,25.662982164393057,25.74457745337366,25.545766650322125,24.65184308602708,-0.315208825847117,-4.150197628458501,-0.7843137254901933,-5.61264822134388,-4.600301659125184,-5.256916996047438,-6.642066420664208,-7.35177865612648,349918.51000000007,386243.49800000014
73,000002.SZ,20181221,25.17,25.18,23.7,24.25,25.3,-1.0500000000000007,-4.150197628458501,607919.23,1466176.434,0.2036739705513888,0.4066027600385384,-0.4058575789742992,0,0,26.07589861754268,38.048642944348174,2.1304099639316973,0,0,25.19198810959537,25.472836098214813,25.422360302666817,24.63866318017879,-4.150197628458501,-1.5257731958762926,-4.452324665090619,-1.1546391752577367,-4.901960784313726,-1.8556701030927807,-8.352229780801213,-1.7731958762886586,409207.836,419507.54300000006
72,000002.SZ,20181224,23.92,24.08,23.33,23.88,24.25,-0.370000000000001,-1.5257731958762926,493219.42,1164770.722,0.05959136060574011,0.3372004801519788,-0.5552182390924774,0,0,21.812273796558248,32.63651989508487,0.1637815995050147,0,0,24.754658739730246,25.18322953490303,25.275468845263973,24.613780353725165,-1.5257731958762926,0.3768844221105522,-5.61264822134388,-0.3350083752093731,-5.91016548463357,-1.8425460636515818,-9.954751131221721,0.08375209380234327,443545.24400000006,441365.7970000001
71,000002.SZ,20181225,23.42,24.22,23.38,23.97,23.88,0.08999999999999986,0.3768844221105522,426901.26,1016225.858,-0.04679349180312542,0.26040168576095796,-0.6143903551281668,0,0,19.694494930394715,28.32251157352148,2.438461644141185,0,0,24.49310582648683,24.962642346738846,25.15113847904375,24.5926657232203,0.3768844221105522,-0.7092198581560207,-1.1546391752577367,-2.2110972048393727,-5.256916996047438,-0.625782227784725,-6.000000000000004,0.4171881518564932,446190.64,440685.574
70,000002.SZ,20181226,23.84,23.98,23.58,23.8,23.97,-0.16999999999999815,-0.7092198581560207,221987.26,528530.965,-0.1431714416690042,0.1796870602749655,-0.6457170038879394,0,0,17.274284098217308,24.639769081753425,2.543314131145074,0,0,24.262070550991222,24.75125282914997,25.02245862389242,24.56666825412277,-0.7092198581560207,-1.5126050420168042,-0.3350083752093731,0.08403361344537635,-1.8556701030927807,0.4201680672268818,-6.225374310480687,4.747899159663861,432455.394,414408.307
69,000002.SZ,20181227,24.25,24.56,23.44,23.44,23.8,-0.35999999999999943,-1.5126050420168042,352501.78,849242.338,-0.2457675965601105,0.0945961289079503,-0.6807274509361216,0,0,12.588314155146849,20.62261743955123,-3.480292413661914,0,0,23.98804703399415,24.512843223849973,24.871748278755245,24.52971672361307,-1.5126050420168042,1.6211604095563097,-2.2110972048393727,1.9624573378839474,-1.8425460636515818,2.6877133105802002,-7.35177865612648,6.868600682593853,420505.79000000004,385212.14999999997
68,000002.SZ,20181228,23.67,24.24,23.67,23.82,23.44,0.379999999999999,1.6211604095563097,322810.93,772703.701,-0.29303503895246763,0.017069895335866697,-0.6202098685766686,0,0,13.729900068572862,18.325044982558442,4.539610240601704,0,4,23.9320313559961,24.386871728604522,24.771581776013903,24.50644026281991,1.6211604095563097,0.3358522250209836,0.08403361344537635,1.0495382031905962,-0.625782227784725,4.659949622166244,-1.7731958762886586,4.953820319059613,363484.13000000006,386345.98299999995
67,000002.SZ,20190102,23.83,24.09,23.67,23.9,23.82,0.0799999999999983,0.3358522250209836,247010.28,589384.596,-0.32034673842337824,-0.050413431415982306,-0.5398666140147919,0,0,16.037324683396402,17.562471549504426,12.987030951180351,0,1,23.921354237330732,24.298349596130972,24.688573987820046,24.486551140704425,0.3358522250209836,0.7112970711297143,1.9624573378839474,4.309623430962349,0.4201680672268818,4.811715481171557,0.08375209380234327,5.983263598326359,314242.3020000001,378893.7729999999
66,000002.SZ,20190103,23.79,24.5,23.71,24.07,23.9,0.1700000000000017,0.7112970711297143,222353.59,536333.264,-0.3245328649976713,-0.10523731813232012,-0.4385910937307024,0,0,20.67805451227778,18.60099920376221,24.832165129308912,1,0,23.97090282488715,24.256831487743522,24.62966217945491,24.472889849887,0.7112970711297143,3.5729123390112147,1.0495382031905962,4.071458246780226,2.6877133105802002,3.8637307852098033,0.4171881518564932,4.320731200664724,273332.7680000001,359761.7039999999
65,000002.SZ,20190104,23.91,25.0,23.85,24.93,24.07,0.8599999999999994,3.5729123390112147,377727.21,927011.718,-0.2555102253415953,-0.13529189957417517,-0.24043665153484023,0,2,42.61419850368068,26.605398970401705,74.63179757023863,0,0,24.290601883258102,24.379225762699242,24.658265781412165,24.487881182220907,3.5729123390112147,0.48134777376655036,4.309623430962349,0.2807862013638198,4.659949622166244,1.6044925792218154,4.747899159663861,1.4841556357801886,304480.7580000001,368468.0759999999
