,trade_date,close,close_base,signals,return_rate_day,return_rate_cum
0,20180605,5.77,0.0,0,0.0,0.0
0,20180606,5.78,0.0,0,0.0,0.0
0,20180607,5.75,0.0,0,0.0,0.0
0,20180608,5.6,0.0,0,0.0,0.0
0,20180611,5.58,0.0,0,0.0,0.0
0,20180612,5.64,0.0,0,0.0,0.0
0,20180613,5.58,0.0,0,0.0,0.0
0,20180614,5.53,0.0,0,0.0,0.0
0,20180615,5.38,0.0,0,0.0,0.0
0,20180619,4.84,0.0,0,0.0,0.0
0,20180620,4.83,0.0,0,0.0,0.0
0,20180621,4.69,0.0,0,0.0,0.0
0,20180622,4.82,0.0,0,0.0,0.0
0,20180625,4.81,0.0,0,0.0,0.0
0,20180626,4.86,0.0,0,0.0,0.0
0,20180627,4.79,0.0,0,0.0,0.0
0,20180628,4.75,4.75,1,0.0,0.0
0,20180629,4.88,4.75,1,2.7368421052631557,2.7368421052631557
0,20180702,4.76,4.75,1,-2.5263157894736867,0.210526315789469
0,20180703,4.86,4.75,1,2.105263157894748,2.315789473684217
0,20180704,4.77,4.75,0,-1.8947368421052788,0.421052631578938
0,20180705,4.7,0.0,0,0.0,0.421052631578938
0,20180706,4.7,0.0,0,0.0,0.421052631578938
0,20180709,4.84,0.0,0,0.0,0.421052631578938
0,20180710,4.87,0.0,0,0.0,0.421052631578938
0,20180711,4.77,0.0,0,0.0,0.421052631578938
0,20180712,4.88,0.0,0,0.0,0.421052631578938
0,20180713,4.91,0.0,0,0.0,0.421052631578938
0,20180716,4.99,0.0,0,0.0,0.421052631578938
0,20180717,5.18,0.0,0,0.0,0.421052631578938
0,20180718,5.12,0.0,0,0.0,0.421052631578938
0,20180719,4.95,0.0,0,0.0,0.421052631578938
0,20180720,5.02,0.0,0,0.0,0.421052631578938
0,20180723,5.06,0.0,0,0.0,0.421052631578938
0,20180724,5.14,0.0,0,0.0,0.421052631578938
0,20180725,5.1,0.0,0,0.0,0.421052631578938
0,20180726,5.13,0.0,0,0.0,0.421052631578938
0,20180727,5.06,0.0,0,0.0,0.421052631578938
0,20180730,4.97,0.0,0,0.0,0.421052631578938
0,20180731,5.02,0.0,0,0.0,0.421052631578938
0,20180801,4.94,0.0,0,0.0,0.421052631578938
0,20180802,4.75,0.0,0,0.0,0.421052631578938
0,20180803,4.69,0.0,0,0.0,0.421052631578938
0,20180806,4.6,0.0,0,0.0,0.421052631578938
0,20180807,4.72,0.0,0,0.0,0.421052631578938
0,20180808,4.7,0.0,0,0.0,0.421052631578938
0,20180809,4.8,0.0,0,0.0,0.421052631578938
0,20180810,4.83,0.0,0,0.0,0.421052631578938
0,20180813,4.82,0.0,0,0.0,0.421052631578938
0,20180814,4.82,0.0,0,0.0,0.421052631578938
0,20180815,4.71,0.0,0,0.0,0.421052631578938
0,20180816,4.68,0.0,0,0.0,0.421052631578938
0,20180817,4.57,0.0,0,0.0,0.421052631578938
0,20180820,4.64,0.0,0,0.0,0.421052631578938
0,20180821,4.67,0.0,0,0.0,0.421052631578938
0,20180822,4.64,0.0,0,0.0,0.421052631578938
0,20180823,4.66,0.0,0,0.0,0.421052631578938
0,20180824,4.62,0.0,0,0.0,0.421052631578938
0,20180827,4.7,0.0,0,0.0,0.421052631578938
0,20180828,4.7,0.0,0,0.0,0.421052631578938
0,20180829,4.68,0.0,0,0.0,0.421052631578938
0,20180830,4.62,0.0,0,0.0,0.421052631578938
0,20180831,4.62,0.0,0,0.0,0.421052631578938
0,20180903,4.59,0.0,0,0.0,0.421052631578938
0,20180904,4.64,0.0,0,0.0,0.421052631578938
0,20180905,4.58,0.0,0,0.0,0.421052631578938
0,20180906,4.55,0.0,0,0.0,0.421052631578938
0,20180907,4.58,0.0,0,0.0,0.421052631578938
0,20180910,4.49,0.0,0,0.0,0.421052631578938
0,20180911,4.52,0.0,0,0.0,0.421052631578938
0,20180912,4.52,0.0,0,0.0,0.421052631578938
0,20180913,4.57,0.0,0,0.0,0.421052631578938
0,20180914,4.6,0.0,0,0.0,0.421052631578938
0,20180917,4.52,0.0,0,0.0,0.421052631578938
0,20180918,4.56,0.0,0,0.0,0.421052631578938
0,20180919,4.62,0.0,0,0.0,0.421052631578938
0,20180920,4.68,0.0,0,0.0,0.421052631578938
0,20180921,4.71,0.0,0,0.0,0.421052631578938
0,20180925,4.77,0.0,0,0.0,0.421052631578938
0,20180926,4.69,0.0,0,0.0,0.421052631578938
0,20180927,4.59,0.0,0,0.0,0.421052631578938
0,20180928,4.64,0.0,0,0.0,0.421052631578938
0,20181008,4.5,0.0,0,0.0,0.421052631578938
0,20181009,4.52,0.0,0,0.0,0.421052631578938
0,20181010,4.51,0.0,0,0.0,0.421052631578938
0,20181011,4.06,0.0,0,0.0,0.421052631578938
0,20181012,3.93,0.0,0,0.0,0.421052631578938
0,20181015,3.78,0.0,0,0.0,0.421052631578938
0,20181016,3.62,0.0,0,0.0,0.421052631578938
0,20181017,3.73,0.0,0,0.0,0.421052631578938
0,20181018,3.62,0.0,0,0.0,0.421052631578938
0,20181019,3.75,0.0,0,0.0,0.421052631578938
0,20181022,3.98,0.0,0,0.0,0.421052631578938
0,20181023,3.92,3.92,1,0.0,0.421052631578938
0,20181024,3.95,3.92,1,0.765306122448986,1.186358754027924
0,20181025,3.96,3.92,1,0.2551020408163211,1.441460794844245
0,20181026,4.04,3.92,1,2.040816326530614,3.4822771213748593
0,20181029,3.97,3.92,0,-1.7857142857142818,1.6965628356605775
0,20181030,3.99,0.0,0,0.0,1.6965628356605775
0,20181031,4.02,0.0,0,0.0,1.6965628356605775
0,20181101,4.03,0.0,0,0.0,1.6965628356605775
0,20181102,4.14,0.0,0,0.0,1.6965628356605775
0,20181105,4.29,0.0,0,0.0,1.6965628356605775
0,20181106,4.41,0.0,0,0.0,1.6965628356605775
0,20181107,4.31,0.0,0,0.0,1.6965628356605775
0,20181108,4.29,0.0,0,0.0,1.6965628356605775
0,20181109,4.29,0.0,0,0.0,1.6965628356605775
0,20181112,4.45,0.0,0,0.0,1.6965628356605775
0,20181113,4.56,0.0,0,0.0,1.6965628356605775
0,20181114,4.56,0.0,0,0.0,1.6965628356605775
0,20181115,5.02,0.0,0,0.0,1.6965628356605775
0,20181116,5.52,0.0,0,0.0,1.6965628356605775
0,20181119,5.38,0.0,0,0.0,1.6965628356605775
0,20181120,5.11,0.0,0,0.0,1.6965628356605775
0,20181121,5.1,0.0,0,0.0,1.6965628356605775
0,20181122,5.14,0.0,0,0.0,1.6965628356605775
0,20181123,4.79,0.0,0,0.0,1.6965628356605775
0,20181126,4.8,0.0,0,0.0,1.6965628356605775
0,20181127,4.92,0.0,0,0.0,1.6965628356605775
0,20181128,4.88,0.0,0,0.0,1.6965628356605775
0,20181129,4.69,0.0,0,0.0,1.6965628356605775
0,20181130,4.77,0.0,0,0.0,1.6965628356605775
0,20181203,4.91,0.0,0,0.0,1.6965628356605775
